0,46,120,152,120,152,141,46,141,V073959,ticket_num
1,364,115,440,115,440,137,364,137,检票:16,other
2,308,143,426,143,426,173,308,173,济南西站,other
3,200,151,283,151,283,175,200,175,G4287,train_num
4,335,173,394,173,394,192,335,192,Jinant,other
5,63,148,171,148,171,178,63,178,北京南站,starting_station
6,70,177,153,177,153,198,70,198,Beijingnan,other
7,45,198,258,198,258,221,45,221,2017年11月10日 20:21开,date
8,302,195,391,195,391,217,302,217,05车0_3号,other
9,332,219,391,219,391,242,332,242,二等座,seat_category
10,48,227,127,227,127,247,48,247,￥184.5元,ticket_rates
11,206,223,226,223,226,243,206,243,网,other
12,44,250,168,250,168,270,44,270,限乘当日当次车,other
13,37,298,232,298,232,323,37,323,本市木水,other
14,235,296,304,296,304,323,235,323,家元,name
15,90,330,192,330,192,348,90,348,头票请到12306,other
16,200,329,309,329,309,346,200,346,发货请到95306,other
17,117,348,280,348,280,366,117,366,中国铁路祝您旅醚愉快,other
18,48,378,215,378,215,397,48,397,10010301011111V073959,other
19,229,374,308,374,308,396,229,396,北京南售,other
